Vendor Name,Vendor Email,Order Number,Store Name,Delivery Date,Product Name,Product Description,Category,Unit of Measurement,Quantity,Price per Unit,Expiration Date
Neal-Jones,rodney30@example.net,b93b0e95-3a27-4ebf-b2b9-1c8c7b9c8e1e,ABC Foodmart - Staten Island,1/3/2025,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,kg,99,43.18,3/4/2025
Neal-Jones,rodney30@example.net,b93b0e95-3a27-4ebf-b2b9-1c8c7b9c8e1e,ABC Foodmart - Staten Island,1/3/2025,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,kg,36,68.99,9/20/2025
Neal-Jones,rodney30@example.net,b93b0e95-3a27-4ebf-b2b9-1c8c7b9c8e1e,ABC Foodmart - Staten Island,1/3/2025,Apples,"High-quality fresh produce item, Apples, sourced responsibly.",fresh produce,ml,50,97.61,5/5/2025
Neal-Jones,rodney30@example.net,b93b0e95-3a27-4ebf-b2b9-1c8c7b9c8e1e,ABC Foodmart - Staten Island,1/3/2025,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,pieces,80,66.11,10/31/2025
Neal-Jones,rodney30@example.net,b93b0e95-3a27-4ebf-b2b9-1c8c7b9c8e1e,ABC Foodmart - Staten Island,1/3/2025,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,ml,49,35.1,4/5/2025
"Romero, Beard and Christensen",jmitchell@example.org,73f89943-1f1d-4b33-a05e-d0a8b77aad51,ABC Foodmart - Bay Ridge,2/10/2025,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,ml,91,2.58,7/5/2025
"Romero, Beard and Christensen",jmitchell@example.org,73f89943-1f1d-4b33-a05e-d0a8b77aad51,ABC Foodmart - Bay Ridge,2/10/2025,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,kg,90,14.49,8/17/2025
"Romero, Beard and Christensen",jmitchell@example.org,73f89943-1f1d-4b33-a05e-d0a8b77aad51,ABC Foodmart - Bay Ridge,2/10/2025,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,pieces,40,39.48,1/5/2026
"Romero, Beard and Christensen",jmitchell@example.org,73f89943-1f1d-4b33-a05e-d0a8b77aad51,ABC Foodmart - Bay Ridge,2/10/2025,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,pieces,47,51.38,7/2/2025
"Romero, Beard and Christensen",jmitchell@example.org,73f89943-1f1d-4b33-a05e-d0a8b77aad51,ABC Foodmart - Bay Ridge,2/10/2025,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,kg,93,51.14,5/22/2025
Blair-Chandler,racheljennings@example.org,64c176ba-c0bd-4470-8f02-990a8279e580,ABC Foodmart - Bay Ridge,10/12/2024,Cheese,"High-quality dairy item, Cheese, sourced responsibly.",dairy,ml,67,98.92,11/27/2024
Blair-Chandler,racheljennings@example.org,64c176ba-c0bd-4470-8f02-990a8279e580,ABC Foodmart - Bay Ridge,10/12/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,kg,23,62.25,10/5/2025
Blair-Chandler,racheljennings@example.org,64c176ba-c0bd-4470-8f02-990a8279e580,ABC Foodmart - Bay Ridge,10/12/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,kg,97,66.92,9/29/2025
Blair-Chandler,racheljennings@example.org,64c176ba-c0bd-4470-8f02-990a8279e580,ABC Foodmart - Bay Ridge,10/12/2024,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,ml,4,66.77,11/10/2024
Blair-Chandler,racheljennings@example.org,64c176ba-c0bd-4470-8f02-990a8279e580,ABC Foodmart - Bay Ridge,10/12/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,pieces,100,82.43,8/1/2025
Leonard Inc,perkinsalexander@example.org,c3cca992-7761-42f4-93dc-41e1eef10759,ABC Foodmart - DUMBO,1/6/2025,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,pieces,20,97.42,8/25/2025
Leonard Inc,perkinsalexander@example.org,c3cca992-7761-42f4-93dc-41e1eef10759,ABC Foodmart - DUMBO,1/6/2025,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,pieces,6,84.57,7/4/2025
Leonard Inc,perkinsalexander@example.org,c3cca992-7761-42f4-93dc-41e1eef10759,ABC Foodmart - DUMBO,1/6/2025,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,kg,95,19.19,1/19/2025
Leonard Inc,perkinsalexander@example.org,c3cca992-7761-42f4-93dc-41e1eef10759,ABC Foodmart - DUMBO,1/6/2025,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,kg,73,16.45,3/31/2025
Leonard Inc,perkinsalexander@example.org,c3cca992-7761-42f4-93dc-41e1eef10759,ABC Foodmart - DUMBO,1/6/2025,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,ml,42,34.31,7/15/2025
Matthews LLC,guerreroconnie@example.net,5d1a3749-0923-4193-a715-e484065b10f5,ABC Foodmart - Bay Ridge,3/30/2025,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,ml,31,10.52,4/21/2025
Matthews LLC,guerreroconnie@example.net,5d1a3749-0923-4193-a715-e484065b10f5,ABC Foodmart - Bay Ridge,3/30/2025,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,ml,49,55.66,1/26/2026
Matthews LLC,guerreroconnie@example.net,5d1a3749-0923-4193-a715-e484065b10f5,ABC Foodmart - Bay Ridge,3/30/2025,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,ml,2,87.16,11/21/2025
Matthews LLC,guerreroconnie@example.net,5d1a3749-0923-4193-a715-e484065b10f5,ABC Foodmart - Bay Ridge,3/30/2025,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,pieces,47,89.29,7/22/2025
Matthews LLC,guerreroconnie@example.net,5d1a3749-0923-4193-a715-e484065b10f5,ABC Foodmart - Bay Ridge,3/30/2025,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,pieces,53,68.9,12/3/2025
Rubio-Valdez,isanders@example.com,c8f0d4aa-ccf5-4ac0-a41d-78cfcc1d6e81,ABC Foodmart - Staten Island,6/23/2024,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,pieces,46,16.71,2/8/2025
Rubio-Valdez,isanders@example.com,c8f0d4aa-ccf5-4ac0-a41d-78cfcc1d6e81,ABC Foodmart - Staten Island,6/23/2024,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,pieces,35,53.74,9/3/2024
Rubio-Valdez,isanders@example.com,c8f0d4aa-ccf5-4ac0-a41d-78cfcc1d6e81,ABC Foodmart - Staten Island,6/23/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,40,7.37,9/9/2024
Rubio-Valdez,isanders@example.com,c8f0d4aa-ccf5-4ac0-a41d-78cfcc1d6e81,ABC Foodmart - Staten Island,6/23/2024,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,kg,98,17.7,4/10/2025
Rubio-Valdez,isanders@example.com,c8f0d4aa-ccf5-4ac0-a41d-78cfcc1d6e81,ABC Foodmart - Staten Island,6/23/2024,Apples,"High-quality fresh produce item, Apples, sourced responsibly.",fresh produce,kg,55,95.47,8/26/2024
"Romero, Beard and Christensen",jmitchell@example.org,534ed7b3-85cf-446c-9c91-61bff63b1678,ABC Foodmart - Bay Ridge,1/30/2025,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,pieces,16,37.62,2/20/2025
"Romero, Beard and Christensen",jmitchell@example.org,534ed7b3-85cf-446c-9c91-61bff63b1678,ABC Foodmart - Bay Ridge,1/30/2025,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,pieces,80,80.62,8/5/2025
"Romero, Beard and Christensen",jmitchell@example.org,534ed7b3-85cf-446c-9c91-61bff63b1678,ABC Foodmart - Bay Ridge,1/30/2025,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,kg,37,47.41,7/29/2025
"Romero, Beard and Christensen",jmitchell@example.org,534ed7b3-85cf-446c-9c91-61bff63b1678,ABC Foodmart - Bay Ridge,1/30/2025,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,pieces,42,90.61,6/14/2025
"Romero, Beard and Christensen",jmitchell@example.org,534ed7b3-85cf-446c-9c91-61bff63b1678,ABC Foodmart - Bay Ridge,1/30/2025,Apples,"High-quality fresh produce item, Apples, sourced responsibly.",fresh produce,ml,83,30.54,2/22/2025
Blair-Chandler,racheljennings@example.org,71641c31-522b-49c2-8772-e3885c52d1a5,ABC Foodmart - Staten Island,2/27/2025,Band-Aids,"High-quality pharmacy item, Band-Aids, sourced responsibly.",pharmacy,ml,21,3.99,12/6/2025
Blair-Chandler,racheljennings@example.org,71641c31-522b-49c2-8772-e3885c52d1a5,ABC Foodmart - Staten Island,2/27/2025,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,pieces,94,72.36,3/29/2025
Blair-Chandler,racheljennings@example.org,71641c31-522b-49c2-8772-e3885c52d1a5,ABC Foodmart - Staten Island,2/27/2025,Cheese,"High-quality dairy item, Cheese, sourced responsibly.",dairy,kg,22,39.48,4/16/2025
Blair-Chandler,racheljennings@example.org,71641c31-522b-49c2-8772-e3885c52d1a5,ABC Foodmart - Staten Island,2/27/2025,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,kg,78,87.64,2/13/2026
Blair-Chandler,racheljennings@example.org,71641c31-522b-49c2-8772-e3885c52d1a5,ABC Foodmart - Staten Island,2/27/2025,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,kg,92,91.62,2/16/2026
Gill PLC,vmurray@example.net,9cea7159-4604-4848-bb0c-4f11fa8a14be,ABC Foodmart - Tribeca,12/27/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,ml,89,35.93,2/11/2025
Gill PLC,vmurray@example.net,9cea7159-4604-4848-bb0c-4f11fa8a14be,ABC Foodmart - Tribeca,12/27/2024,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,kg,74,93.77,10/7/2025
Gill PLC,vmurray@example.net,9cea7159-4604-4848-bb0c-4f11fa8a14be,ABC Foodmart - Tribeca,12/27/2024,Bagel,"High-quality bakery item, Bagel, sourced responsibly.",bakery,kg,33,21.77,6/19/2025
Gill PLC,vmurray@example.net,9cea7159-4604-4848-bb0c-4f11fa8a14be,ABC Foodmart - Tribeca,12/27/2024,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,pieces,95,84.13,5/5/2025
Gill PLC,vmurray@example.net,9cea7159-4604-4848-bb0c-4f11fa8a14be,ABC Foodmart - Tribeca,12/27/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,61,34.73,6/6/2025
Silva PLC,ohowe@example.org,7f58cf98-a240-4298-a98f-930b740e9fdc,ABC Foodmart - Staten Island,7/23/2024,Croissant,"High-quality bakery item, Croissant, sourced responsibly.",bakery,ml,36,68.13,3/16/2025
Silva PLC,ohowe@example.org,7f58cf98-a240-4298-a98f-930b740e9fdc,ABC Foodmart - Staten Island,7/23/2024,Salmon Fillet,"High-quality seafood item, Salmon Fillet, sourced responsibly.",seafood,ml,80,55.85,12/8/2024
Silva PLC,ohowe@example.org,7f58cf98-a240-4298-a98f-930b740e9fdc,ABC Foodmart - Staten Island,7/23/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,ml,24,40.59,8/19/2024
Silva PLC,ohowe@example.org,7f58cf98-a240-4298-a98f-930b740e9fdc,ABC Foodmart - Staten Island,7/23/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,pieces,17,70.14,4/1/2025
Silva PLC,ohowe@example.org,7f58cf98-a240-4298-a98f-930b740e9fdc,ABC Foodmart - Staten Island,7/23/2024,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,ml,4,86.66,7/12/2025
"Garcia, David and Mendoza",phillipcombs@example.net,0eef8142-fadf-49cd-8a0d-d75bc474e863,ABC Foodmart - DUMBO,3/29/2025,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,pieces,24,22.92,8/12/2025
"Garcia, David and Mendoza",phillipcombs@example.net,0eef8142-fadf-49cd-8a0d-d75bc474e863,ABC Foodmart - DUMBO,3/29/2025,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,pieces,87,81.6,12/17/2025
"Garcia, David and Mendoza",phillipcombs@example.net,0eef8142-fadf-49cd-8a0d-d75bc474e863,ABC Foodmart - DUMBO,3/29/2025,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,ml,48,99.43,6/7/2025
"Garcia, David and Mendoza",phillipcombs@example.net,0eef8142-fadf-49cd-8a0d-d75bc474e863,ABC Foodmart - DUMBO,3/29/2025,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,ml,4,91.98,1/10/2026
"Garcia, David and Mendoza",phillipcombs@example.net,0eef8142-fadf-49cd-8a0d-d75bc474e863,ABC Foodmart - DUMBO,3/29/2025,Roses,"High-quality floral item, Roses, sourced responsibly.",floral,ml,56,80.03,9/22/2025
Gregory Inc,james84@example.org,524c71fe-d9c6-4cf0-a612-3ceae62194b3,ABC Foodmart - Staten Island,4/23/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,kg,81,87.46,11/26/2024
Gregory Inc,james84@example.org,524c71fe-d9c6-4cf0-a612-3ceae62194b3,ABC Foodmart - Staten Island,4/23/2024,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,pieces,17,5,3/13/2025
Gregory Inc,james84@example.org,524c71fe-d9c6-4cf0-a612-3ceae62194b3,ABC Foodmart - Staten Island,4/23/2024,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,ml,53,97.57,8/10/2024
Gregory Inc,james84@example.org,524c71fe-d9c6-4cf0-a612-3ceae62194b3,ABC Foodmart - Staten Island,4/23/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,pieces,15,93.61,4/20/2025
Gregory Inc,james84@example.org,524c71fe-d9c6-4cf0-a612-3ceae62194b3,ABC Foodmart - Staten Island,4/23/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,pieces,31,63.29,9/19/2024
Matthews LLC,guerreroconnie@example.net,32606fa8-c17d-40d8-97b2-7e491a3bcab9,ABC Foodmart - DUMBO,9/16/2024,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,pieces,98,66.12,2/12/2025
Matthews LLC,guerreroconnie@example.net,32606fa8-c17d-40d8-97b2-7e491a3bcab9,ABC Foodmart - DUMBO,9/16/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,kg,30,68.96,8/31/2025
Matthews LLC,guerreroconnie@example.net,32606fa8-c17d-40d8-97b2-7e491a3bcab9,ABC Foodmart - DUMBO,9/16/2024,Beans,"High-quality dry goods item, Beans, sourced responsibly.",dry goods,ml,9,83.89,10/29/2024
Matthews LLC,guerreroconnie@example.net,32606fa8-c17d-40d8-97b2-7e491a3bcab9,ABC Foodmart - DUMBO,9/16/2024,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,kg,55,20.73,12/4/2024
Matthews LLC,guerreroconnie@example.net,32606fa8-c17d-40d8-97b2-7e491a3bcab9,ABC Foodmart - DUMBO,9/16/2024,Roast Beef,"High-quality deli item, Roast Beef, sourced responsibly.",deli,kg,48,82.8,1/4/2025
Horton LLC,veronicafuentes@example.org,bda227ca-1a51-49de-8cee-b6fa43dc0f28,ABC Foodmart - Staten Island,5/31/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,pieces,18,49.96,2/12/2025
Horton LLC,veronicafuentes@example.org,bda227ca-1a51-49de-8cee-b6fa43dc0f28,ABC Foodmart - Staten Island,5/31/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,ml,99,10.28,11/3/2024
Horton LLC,veronicafuentes@example.org,bda227ca-1a51-49de-8cee-b6fa43dc0f28,ABC Foodmart - Staten Island,5/31/2024,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,ml,86,74.86,11/24/2024
Horton LLC,veronicafuentes@example.org,bda227ca-1a51-49de-8cee-b6fa43dc0f28,ABC Foodmart - Staten Island,5/31/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,ml,60,49.08,10/22/2024
Horton LLC,veronicafuentes@example.org,bda227ca-1a51-49de-8cee-b6fa43dc0f28,ABC Foodmart - Staten Island,5/31/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,kg,41,21.22,3/4/2025
"Gray, Roman and Little",rachel74@example.com,22fa054a-cd1a-4f17-a2be-d8594d4290ed,ABC Foodmart - Tribeca,12/25/2024,Rice,"High-quality dry goods item, Rice, sourced responsibly.",dry goods,ml,78,46.88,11/14/2025
"Gray, Roman and Little",rachel74@example.com,22fa054a-cd1a-4f17-a2be-d8594d4290ed,ABC Foodmart - Tribeca,12/25/2024,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,ml,15,35.18,1/17/2025
"Gray, Roman and Little",rachel74@example.com,22fa054a-cd1a-4f17-a2be-d8594d4290ed,ABC Foodmart - Tribeca,12/25/2024,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,pieces,9,11.34,3/25/2025
"Gray, Roman and Little",rachel74@example.com,22fa054a-cd1a-4f17-a2be-d8594d4290ed,ABC Foodmart - Tribeca,12/25/2024,Cheese,"High-quality dairy item, Cheese, sourced responsibly.",dairy,pieces,22,17.3,9/30/2025
"Gray, Roman and Little",rachel74@example.com,22fa054a-cd1a-4f17-a2be-d8594d4290ed,ABC Foodmart - Tribeca,12/25/2024,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,pieces,44,82.3,12/9/2025
Gregory Inc,james84@example.org,04dc9d59-f7b6-4325-8975-d52c16e69386,ABC Foodmart - DUMBO,9/12/2024,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,pieces,95,97.73,12/7/2024
Gregory Inc,james84@example.org,04dc9d59-f7b6-4325-8975-d52c16e69386,ABC Foodmart - DUMBO,9/12/2024,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,kg,92,28.6,7/7/2025
Gregory Inc,james84@example.org,04dc9d59-f7b6-4325-8975-d52c16e69386,ABC Foodmart - DUMBO,9/12/2024,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,kg,1,67.94,2/23/2025
Gregory Inc,james84@example.org,04dc9d59-f7b6-4325-8975-d52c16e69386,ABC Foodmart - DUMBO,9/12/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,ml,98,64.57,8/16/2025
Gregory Inc,james84@example.org,04dc9d59-f7b6-4325-8975-d52c16e69386,ABC Foodmart - DUMBO,9/12/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,pieces,26,31.44,7/30/2025
Harris-Hunter,matthewwalton@example.org,bdeed8a2-1b28-4cef-bd0d-be19985f1a87,ABC Foodmart - Whitestone,11/26/2024,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,pieces,83,50.31,12/27/2024
Harris-Hunter,matthewwalton@example.org,bdeed8a2-1b28-4cef-bd0d-be19985f1a87,ABC Foodmart - Whitestone,11/26/2024,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,ml,5,62.83,7/25/2025
Harris-Hunter,matthewwalton@example.org,bdeed8a2-1b28-4cef-bd0d-be19985f1a87,ABC Foodmart - Whitestone,11/26/2024,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,kg,35,37.81,9/26/2025
Harris-Hunter,matthewwalton@example.org,bdeed8a2-1b28-4cef-bd0d-be19985f1a87,ABC Foodmart - Whitestone,11/26/2024,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,kg,15,87.32,3/26/2025
Harris-Hunter,matthewwalton@example.org,bdeed8a2-1b28-4cef-bd0d-be19985f1a87,ABC Foodmart - Whitestone,11/26/2024,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,kg,77,23.6,6/21/2025
Moore PLC,shermaneric@example.net,e15aa185-b55a-446e-a0db-02973ceb2e0a,ABC Foodmart - Whitestone,4/25/2024,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,ml,50,38.65,12/18/2024
Moore PLC,shermaneric@example.net,e15aa185-b55a-446e-a0db-02973ceb2e0a,ABC Foodmart - Whitestone,4/25/2024,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,pieces,93,32.7,9/25/2024
Moore PLC,shermaneric@example.net,e15aa185-b55a-446e-a0db-02973ceb2e0a,ABC Foodmart - Whitestone,4/25/2024,Lobster,"High-quality seafood item, Lobster, sourced responsibly.",seafood,ml,34,38.86,6/14/2024
Moore PLC,shermaneric@example.net,e15aa185-b55a-446e-a0db-02973ceb2e0a,ABC Foodmart - Whitestone,4/25/2024,Yogurt,"High-quality dairy item, Yogurt, sourced responsibly.",dairy,pieces,64,68.29,4/5/2025
Moore PLC,shermaneric@example.net,e15aa185-b55a-446e-a0db-02973ceb2e0a,ABC Foodmart - Whitestone,4/25/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,pieces,82,54.12,2/28/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,99d5c296-029c-4488-bce9-072413eeec9c,ABC Foodmart - DUMBO,5/27/2024,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,pieces,11,53.45,6/17/2024
"Hamilton, Briggs and Nguyen",herringeric@example.org,99d5c296-029c-4488-bce9-072413eeec9c,ABC Foodmart - DUMBO,5/27/2024,Cheese,"High-quality dairy item, Cheese, sourced responsibly.",dairy,pieces,61,46.07,5/7/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,99d5c296-029c-4488-bce9-072413eeec9c,ABC Foodmart - DUMBO,5/27/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,kg,39,9.39,11/30/2024
"Hamilton, Briggs and Nguyen",herringeric@example.org,99d5c296-029c-4488-bce9-072413eeec9c,ABC Foodmart - DUMBO,5/27/2024,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,kg,84,44.61,5/24/2025
"Hamilton, Briggs and Nguyen",herringeric@example.org,99d5c296-029c-4488-bce9-072413eeec9c,ABC Foodmart - DUMBO,5/27/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,44,58.2,12/5/2024
"Jackson, Maxwell and Stone",ffowler@example.net,3a58dd71-651f-4410-a1dd-97ca7228a7ac,ABC Foodmart - Bay Ridge,7/12/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,kg,42,75.76,7/31/2024
"Jackson, Maxwell and Stone",ffowler@example.net,3a58dd71-651f-4410-a1dd-97ca7228a7ac,ABC Foodmart - Bay Ridge,7/12/2024,Sunflowers,"High-quality floral item, Sunflowers, sourced responsibly.",floral,ml,89,48.59,11/4/2024
"Jackson, Maxwell and Stone",ffowler@example.net,3a58dd71-651f-4410-a1dd-97ca7228a7ac,ABC Foodmart - Bay Ridge,7/12/2024,Pasta,"High-quality dry goods item, Pasta, sourced responsibly.",dry goods,pieces,99,98.8,10/22/2024
"Jackson, Maxwell and Stone",ffowler@example.net,3a58dd71-651f-4410-a1dd-97ca7228a7ac,ABC Foodmart - Bay Ridge,7/12/2024,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,ml,67,67.16,1/27/2025
"Jackson, Maxwell and Stone",ffowler@example.net,3a58dd71-651f-4410-a1dd-97ca7228a7ac,ABC Foodmart - Bay Ridge,7/12/2024,Milk,"High-quality dairy item, Milk, sourced responsibly.",dairy,ml,6,45.92,12/18/2024
Wang-Combs,jefferygalvan@example.org,57a9d31b-55d6-45cd-a01f-c5bbb8809330,ABC Foodmart - Bay Ridge,4/8/2025,Aspirin,"High-quality pharmacy item, Aspirin, sourced responsibly.",pharmacy,ml,99,24.74,12/10/2025
Wang-Combs,jefferygalvan@example.org,57a9d31b-55d6-45cd-a01f-c5bbb8809330,ABC Foodmart - Bay Ridge,4/8/2025,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,kg,52,53.6,7/15/2025
Wang-Combs,jefferygalvan@example.org,57a9d31b-55d6-45cd-a01f-c5bbb8809330,ABC Foodmart - Bay Ridge,4/8/2025,Ice Cream,"High-quality frozen foods item, Ice Cream, sourced responsibly.",frozen foods,kg,76,86.05,4/27/2025
Wang-Combs,jefferygalvan@example.org,57a9d31b-55d6-45cd-a01f-c5bbb8809330,ABC Foodmart - Bay Ridge,4/8/2025,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,ml,21,83.4,7/11/2025
Wang-Combs,jefferygalvan@example.org,57a9d31b-55d6-45cd-a01f-c5bbb8809330,ABC Foodmart - Bay Ridge,4/8/2025,Frozen Pizza,"High-quality frozen foods item, Frozen Pizza, sourced responsibly.",frozen foods,ml,42,55.47,10/2/2025
Taylor-Smith,lisa97@example.net,30f786d7-216c-4c34-9bfb-da3d5cbe616b,ABC Foodmart - Bay Ridge,6/14/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,ml,22,92.42,10/30/2024
Taylor-Smith,lisa97@example.net,30f786d7-216c-4c34-9bfb-da3d5cbe616b,ABC Foodmart - Bay Ridge,6/14/2024,Ham,"High-quality deli item, Ham, sourced responsibly.",deli,pieces,33,46.02,9/14/2024
Taylor-Smith,lisa97@example.net,30f786d7-216c-4c34-9bfb-da3d5cbe616b,ABC Foodmart - Bay Ridge,6/14/2024,Soda,"High-quality beverages item, Soda, sourced responsibly.",beverages,pieces,16,18.03,11/28/2024
Taylor-Smith,lisa97@example.net,30f786d7-216c-4c34-9bfb-da3d5cbe616b,ABC Foodmart - Bay Ridge,6/14/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,ml,96,23.72,1/24/2025
Taylor-Smith,lisa97@example.net,30f786d7-216c-4c34-9bfb-da3d5cbe616b,ABC Foodmart - Bay Ridge,6/14/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,ml,99,61.77,4/9/2025
"Romero, Beard and Christensen",jmitchell@example.org,59dca95f-d696-4e70-9ecf-08481dca53e1,ABC Foodmart - DUMBO,10/23/2024,Bagel,"High-quality bakery item, Bagel, sourced responsibly.",bakery,pieces,45,98.21,8/16/2025
"Romero, Beard and Christensen",jmitchell@example.org,59dca95f-d696-4e70-9ecf-08481dca53e1,ABC Foodmart - DUMBO,10/23/2024,Pork Loin,"High-quality meats item, Pork Loin, sourced responsibly.",meats,kg,42,30.43,12/21/2024
"Romero, Beard and Christensen",jmitchell@example.org,59dca95f-d696-4e70-9ecf-08481dca53e1,ABC Foodmart - DUMBO,10/23/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,kg,86,26.48,5/15/2025
"Romero, Beard and Christensen",jmitchell@example.org,59dca95f-d696-4e70-9ecf-08481dca53e1,ABC Foodmart - DUMBO,10/23/2024,Turkey Breast,"High-quality deli item, Turkey Breast, sourced responsibly.",deli,pieces,59,5.54,10/13/2025
